ProcessName,SubjectUserName,@timestamp,host,Hostname,EventID,SubjectLogonId,ProcessId,LogonType,TargetLogonId,WorkstationName,IpAddress,TargetUserName,PrivilegeList,CommandLine,ParentProcessName,NewProcessId
,SCRANTON$,2020-05-02T03:20:01.059Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x1274,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\wevtutil.exe,0x127c
,SCRANTON$,2020-05-02T03:20:01.059Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x3b0,,0x0,,,-,,C:\windows\system32\wbem\wmiprvse.exe -Embedding,C:\Windows\System32\svchost.exe,0x128c
C:\Windows\System32\svchost.exe,SCRANTON$,2020-05-02T03:20:01.438Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x1158,,,,,,,,,
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02T03:20:02.097Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5,0x3e7,-,-,SYSTEM,,,,
,SYSTEM,2020-05-02T03:20:02.097Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4672,0x3e7,,,,,,,"SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,
,SCRANTON$,2020-05-02T03:20:02.097Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x2e0,,0x0,,,-,,C:\windows\System32\svchost.exe -k netsvcs -p -s NetSetupSvc,C:\Windows\System32\services.exe,0x1348
,SCRANTON$,2020-05-02T03:20:02.439Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x498,,0x0,,,-,,taskhostw.exe SYSTEM,C:\Windows\System32\svchost.exe,0x138c
,SCRANTON$,2020-05-02T03:20:06.764Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xe14,,0x0,,,-,,C:\windows\system32\dispdiag.exe -out dispdiag_start.dat,C:\Windows\System32\netsh.exe,0x13a0
,SCRANTON$,2020-05-02T03:20:06.764Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x13a0,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\dispdiag.exe,0x13ac
C:\Windows\System32\dispdiag.exe,SCRANTON$,2020-05-02T03:20:06.765Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x13a0,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:06.765Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x13ac,,,,,,,,,
,SCRANTON$,2020-05-02T03:20:06.765Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xd8c,,0x0,,,-,,"""ipconfig.exe"" /all",C:\WindowsAzure\Packages\GuestAgent\WindowsAzureGuestAgent.exe,0x13d8
,SCRANTON$,2020-05-02T03:20:06.765Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x13d8,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\ipconfig.exe,0x13e4
C:\Windows\System32\ipconfig.exe,SCRANTON$,2020-05-02T03:20:07.155Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x13d8,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:07.155Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x13e4,,,,,,,,,
,SCRANTON$,2020-05-02T03:20:07.155Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xd8c,,0x0,,,-,,"""route.exe"" print",C:\WindowsAzure\Packages\GuestAgent\WindowsAzureGuestAgent.exe,0xd14
,SCRANTON$,2020-05-02T03:20:07.155Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xd14,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\ROUTE.EXE,0xf90
C:\Windows\System32\netsh.exe,SCRANTON$,2020-05-02T03:20:07.156Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0xe14,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:07.156Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0xf24,,,,,,,,,
,SCRANTON$,2020-05-02T03:20:07.156Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xc6c,,0x0,,,-,,C:\windows\system32\netsh.exe trace stop,C:\Packages\Plugins\Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentWindows\1.4.1421.1\NetworkWatcherAgent\NetworkWatcherAgent.exe,0x111c
,SCRANTON$,2020-05-02T03:20:07.156Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x111c,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\netsh.exe,0xd08
C:\Windows\System32\ROUTE.EXE,SCRANTON$,2020-05-02T03:20:07.157Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0xd14,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:07.157Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0xf90,,,,,,,,,
C:\Windows\System32\ClipRenew.exe,SCRANTON$,2020-05-02T03:20:07.528Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0xc8c,,,,,,,,,
,SCRANTON$,2020-05-02T03:20:07.529Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xd8c,,0x0,,,-,,"""arp.exe"" /a",C:\WindowsAzure\Packages\GuestAgent\WindowsAzureGuestAgent.exe,0x119c
,SCRANTON$,2020-05-02T03:20:07.529Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x119c,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\ARP.EXE,0x12f4
C:\Windows\System32\ARP.EXE,SCRANTON$,2020-05-02T03:20:07.529Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x119c,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:07.529Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x12f4,,,,,,,,,
C:\Windows\System32\dsregcmd.exe,SCRANTON$,2020-05-02T03:20:07.529Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0xa18,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:07.529Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0xd58,,,,,,,,,
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02T03:20:07.529Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5,0x3e7,-,-,SYSTEM,,,,
,SYSTEM,2020-05-02T03:20:07.529Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4672,0x3e7,,,,,,,"SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,
,SCRANTON$,2020-05-02T03:20:07.530Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x2e0,,0x0,,,-,,C:\windows\system32\svchost.exe -k appmodel -p -s StateRepository,C:\Windows\System32\services.exe,0x13b4
,SCRANTON$,2020-05-02T03:20:07.530Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xda8,,0x0,,,-,,"""ipconfig.exe"" /all",C:\WindowsAzure\Packages\Telemetry\WindowsAzureTelemetryService.exe,0x13f0
C:\Windows\System32\netsh.exe,SCRANTON$,2020-05-02T03:20:07.530Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x111c,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:07.530Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0xd08,,,,,,,,,
,SCRANTON$,2020-05-02T03:20:07.530Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xd20,,0x0,,,-,,"""logman.exe"" create trace GAEvents -max 50 -f bincirc -o C:\WindowsAzure\Logs\WaAppAgent.etl -p ""{3000b92b-ca8b-4269-90ea-c4185ee09e92}""",C:\WindowsAzure\Packages\WaAppAgent.exe,0x13ec
,SCRANTON$,2020-05-02T03:20:07.530Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x13ec,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\logman.exe,0x43c
C:\Windows\System32\logman.exe,SCRANTON$,2020-05-02T03:20:07.531Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x13ec,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:07.531Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x43c,,,,,,,,,
,SCRANTON$,2020-05-02T03:20:07.531Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x13f0,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\ipconfig.exe,0x123c
,SCRANTON$,2020-05-02T03:20:07.531Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xd20,,0x0,,,-,,"""logman.exe"" start GAEvents",C:\WindowsAzure\Packages\WaAppAgent.exe,0xd5c
,SCRANTON$,2020-05-02T03:20:07.531Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xd5c,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\logman.exe,0x11b0
C:\Windows\System32\wermgr.exe,SCRANTON$,2020-05-02T03:20:07.531Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0xb4c,,,,,,,,,
C:\Windows\System32\wevtutil.exe,SCRANTON$,2020-05-02T03:20:07.531Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x1274,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:07.531Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x127c,,,,,,,,,
C:\Windows\System32\ipconfig.exe,SCRANTON$,2020-05-02T03:20:07.531Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x13f0,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:07.531Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x123c,,,,,,,,,
,SCRANTON$,2020-05-02T03:20:07.531Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x2e0,,0x3e5,,,LOCAL SERVICE,,"""C:\Program Files\Windows Defender\NisSrv.exe""",C:\Windows\System32\services.exe,0x1284
C:\Windows\System32\svchost.exe,SCRANTON$,2020-05-02T03:20:07.532Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x1348,,,,,,,,,
,SCRANTON$,2020-05-02T03:20:07.533Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xda8,,0x0,,,-,,"""route.exe"" print",C:\WindowsAzure\Packages\Telemetry\WindowsAzureTelemetryService.exe,0x7c4
,SCRANTON$,2020-05-02T03:20:07.534Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x2e0,,0x3e5,,,LOCAL SERVICE,,C:\windows\System32\svchost.exe -k LocalServiceNoNetwork -p -s pla,C:\Windows\System32\services.exe,0x10ac
,SCRANTON$,2020-05-02T03:20:07.536Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x7c4,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\ROUTE.EXE,0x310
,SCRANTON$,2020-05-02T03:20:07.536Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4672,0xa5a07,,,,,,,"SeSecurityPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeTakeOwnershipPrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeLoadDriverPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,
-,-,2020-05-02T03:20:07.536Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x0,0x0,3,0xa5a07,-,-,SCRANTON$,,,,
C:\Windows\System32\dxgiadaptercache.exe,SCRANTON$,2020-05-02T03:20:07.537Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0xc14,,,,,,,,,
C:\Windows\System32\ROUTE.EXE,SCRANTON$,2020-05-02T03:20:07.537Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x7c4,,,,,,,,,
,SCRANTON$,2020-05-02T03:20:07.537Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xda8,,0x0,,,-,,"""arp.exe"" /a",C:\WindowsAzure\Packages\Telemetry\WindowsAzureTelemetryService.exe,0xf78
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:07.537Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x310,,,,,,,,,
,SCRANTON$,2020-05-02T03:20:07.537Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xd20,,0x0,,,-,,"""logman.exe"" create trace RTEvents -max 50 -f bincirc -o C:\WindowsAzure\Logs\RuntimeEvents.etl -pf C:\WindowsAzure\Packages\GuestAgent\ProviderGuids.txt",C:\WindowsAzure\Packages\WaAppAgent.exe,0x13dc
,SCRANTON$,2020-05-02T03:20:07.537Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xf78,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\ARP.EXE,0x13f4
,SCRANTON$,2020-05-02T03:20:07.537Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x13dc,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\logman.exe,0x13d4
C:\Windows\System32\logman.exe,SCRANTON$,2020-05-02T03:20:07.537Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0xd5c,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:08.000Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x11b0,,,,,,,,,
C:\Windows\System32\logman.exe,SCRANTON$,2020-05-02T03:20:08.000Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x13dc,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:08.000Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x13d4,,,,,,,,,
C:\Program Files\Windows Defender\NisSrv.exe,LOCAL SERVICE,2020-05-02T03:20:08.001Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e5,0x1284,,,,,,,,,
,SCRANTON$,2020-05-02T03:20:08.001Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xd20,,0x0,,,-,,"""logman.exe"" start RTEvents",C:\WindowsAzure\Packages\WaAppAgent.exe,0x11bc
,SCRANTON$,2020-05-02T03:20:08.001Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x11bc,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\logman.exe,0xd88
,SCRANTON$,2020-05-02T03:20:08.001Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x2e0,,0x3e5,,,LOCAL SERVICE,,"""C:\Program Files\Windows Defender\NisSrv.exe""",C:\Windows\System32\services.exe,0xd14
C:\Windows\System32\ARP.EXE,SCRANTON$,2020-05-02T03:20:08.002Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0xf78,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:08.002Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x13f4,,,,,,,,,
C:\Windows\System32\logman.exe,SCRANTON$,2020-05-02T03:20:08.002Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x11bc,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:08.002Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0xd88,,,,,,,,,
,SCRANTON$,2020-05-02T03:20:08.003Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xd20,,0x0,,,-,,"""sc.exe"" config RdAgent error= normal",C:\WindowsAzure\Packages\WaAppAgent.exe,0xf90
,SCRANTON$,2020-05-02T03:20:08.003Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xf90,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\sc.exe,0x1230
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02T03:20:08.003Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5,0x3e7,-,-,SYSTEM,,,,
,SYSTEM,2020-05-02T03:20:08.003Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4672,0x3e7,,,,,,,"SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,
,SCRANTON$,2020-05-02T03:20:08.003Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x2e0,,0x0,,,-,,C:\windows\System32\svchost.exe -k netsvcs -p -s BITS,C:\Windows\System32\services.exe,0x354
,SCRANTON$,2020-05-02T03:20:08.004Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x2e0,,0x3e5,,,LOCAL SERVICE,,C:\windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV,C:\Windows\System32\services.exe,0x1284
C:\Windows\System32\sc.exe,SCRANTON$,2020-05-02T03:20:15.313Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0xf90,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:15.313Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x1230,,,,,,,,,
,NEWYORK$,2020-05-02T03:20:15.313Z,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4672,0x61e8e4,,,,,,,"SeSecurityPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeTakeOwnershipPrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeLoadDriverPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege
			SeEnableDelegationPrivilege",,,
-,-,2020-05-02T03:20:15.313Z,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3,0x61e8e4,-,::1,NEWYORK$,,,,
C:\Windows\System32\svchost.exe,SCRANTON$,2020-05-02T03:20:15.314Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x1134,,,,,,,,,
,SCRANTON$,2020-05-02T03:20:15.314Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xd20,,0x0,,,-,,"""sc.exe"" config WindowsAzureTelemetryService error= normal",C:\WindowsAzure\Packages\WaAppAgent.exe,0x268
,SCRANTON$,2020-05-02T03:20:15.314Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x268,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\sc.exe,0x1198
,SCRANTON$,2020-05-02T03:20:15.315Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xd8c,,0x0,,,-,,"""BfeToolWin8.exe"" /restricthostaccess 168.63.129.16",C:\WindowsAzure\Packages\GuestAgent\WindowsAzureGuestAgent.exe,0x1414
,SCRANTON$,2020-05-02T03:20:15.316Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x1414,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\WindowsAzure\Packages\GuestAgent\BfeToolWin8.exe,0x142c
C:\WindowsAzure\Packages\GuestAgent\BfeToolWin8.exe,SCRANTON$,2020-05-02T03:20:15.318Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x1414,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:15.318Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x142c,,,,,,,,,
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02T03:20:15.318Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5,0x3e7,-,-,SYSTEM,,,,
,SYSTEM,2020-05-02T03:20:15.319Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4672,0x3e7,,,,,,,"SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,
,SCRANTON$,2020-05-02T03:20:15.319Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x2e0,,0x0,,,-,,C:\windows\system32\wbem\WmiApSrv.exe,C:\Windows\System32\services.exe,0x1460
C:\Windows\System32\sc.exe,SCRANTON$,2020-05-02T03:20:15.320Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x268,,,,,,,,,
C:\Windows\System32\conhost.exe,SCRANTON$,2020-05-02T03:20:15.320Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x1198,,,,,,,,,
,SCRANTON$,2020-05-02T03:20:15.323Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xd20,,0x0,,,-,,"""sc.exe"" config WindowsAzureGuestAgent error= normal",C:\WindowsAzure\Packages\WaAppAgent.exe,0x1488
C:\Program Files (x86)\Google\Update\1.3.35.452\GoogleCrashHandler64.exe,SCRANTON$,2020-05-02T03:21:12.859Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x1ef8,,,,,,,,,
C:\Program Files (x86)\Google\Update\GoogleUpdate.exe,SCRANTON$,2020-05-02T03:21:12.859Z,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4689,0x3e7,0x1444,,,,,,,,,
